,Iteration,Parameter,ESS
0,0,Log mean myokit.volume,0.0
1,100,Log mean myokit.volume,0.0
2,200,Log mean myokit.volume,0.0
3,300,Log mean myokit.volume,0.0
4,400,Log mean myokit.volume,0.0
5,500,Log mean myokit.volume,0.0
6,600,Log mean myokit.volume,8.1332150626278
7,700,Log mean myokit.volume,12.713289419887296
8,800,Log mean myokit.volume,1.7396157748644399
9,900,Log mean myokit.volume,2.358728534196896
10,1000,Log mean myokit.volume,2.4631474004364096
11,1100,Log mean myokit.volume,2.1939936782545293
12,1200,Log mean myokit.volume,1.689415198315437
13,1300,Log mean myokit.volume,1.4117382953549915
14,1400,Log mean myokit.volume,1.3651838241796608
15,1500,Log mean myokit.volume,1.4341126749262347
16,1600,Log mean myokit.volume,1.4018107565786617
17,1700,Log mean myokit.volume,1.5536760460638361
18,1800,Log mean myokit.volume,2.1485168029008825
19,1900,Log mean myokit.volume,3.649167075651663
20,2000,Log mean myokit.volume,6.487717749601836
21,2100,Log mean myokit.volume,7.8292672786439415
22,2200,Log mean myokit.volume,7.713148973105775
23,2300,Log mean myokit.volume,6.567885048547265
24,2400,Log mean myokit.volume,5.463350079382963
25,2500,Log mean myokit.volume,4.697588462362284
26,2600,Log mean myokit.volume,3.441860767715637
27,2700,Log mean myokit.volume,2.576377675166266
28,2800,Log mean myokit.volume,1.940865541981382
29,2900,Log mean myokit.volume,1.6807122151697587
30,3000,Log mean myokit.volume,1.6041750373574675
31,3100,Log mean myokit.volume,1.5573697788972989
32,3200,Log mean myokit.volume,1.5281605883012952
33,3300,Log mean myokit.volume,1.501276572614959
34,3400,Log mean myokit.volume,1.4736183877312254
35,3500,Log mean myokit.volume,1.469614168402948
36,3600,Log mean myokit.volume,1.4471990038032778
37,3700,Log mean myokit.volume,1.486644014001039
38,3800,Log mean myokit.volume,1.579590150925162
39,3900,Log mean myokit.volume,1.6803657517692498
40,4000,Log mean myokit.volume,1.8878669956312386
41,4100,Log mean myokit.volume,2.2591698672003164
42,4200,Log mean myokit.volume,2.418966802782352
43,4300,Log mean myokit.volume,2.5914053127188503
44,4400,Log mean myokit.volume,2.66943927398012
45,4500,Log mean myokit.volume,2.641629313205848
46,4600,Log mean myokit.volume,2.4300090661377642
47,4700,Log mean myokit.volume,2.285520848618783
48,4800,Log mean myokit.volume,2.2481501959185874
49,4900,Log mean myokit.volume,2.299149080658651
50,5000,Log mean myokit.volume,2.405026951951424
51,5100,Log mean myokit.volume,2.543765350992274
52,5200,Log mean myokit.volume,2.5315086921474257
53,5300,Log mean myokit.volume,2.593522220973875
54,5400,Log mean myokit.volume,2.6993535300943434
55,5500,Log mean myokit.volume,2.890788961698567
56,5600,Log mean myokit.volume,2.877227988858733
57,5700,Log mean myokit.volume,3.038652183139572
58,5800,Log mean myokit.volume,3.240793458783997
59,5900,Log mean myokit.volume,3.4757723186769525
60,6000,Log mean myokit.volume,3.4950310958320574
61,6100,Log mean myokit.volume,3.5398752920151746
62,6200,Log mean myokit.volume,3.586332320105866
63,6300,Log mean myokit.volume,3.737616158950614
64,6400,Log mean myokit.volume,3.6468788652879587
65,6500,Log mean myokit.volume,3.4939434370446607
66,6600,Log mean myokit.volume,3.2569959517057145
67,6700,Log mean myokit.volume,3.2012385306946833
68,6800,Log mean myokit.volume,3.0467426453861575
69,6900,Log mean myokit.volume,3.0392338259954093
70,7000,Log mean myokit.volume,2.9680429835786915
71,7100,Log mean myokit.volume,2.9275102468418472
72,7200,Log mean myokit.volume,3.0253887876926058
73,7300,Log mean myokit.volume,3.0895805978176316
74,7400,Log mean myokit.volume,3.057667440482763
75,7500,Log mean myokit.volume,3.09112876637982
76,7600,Log mean myokit.volume,3.0245495810537415
77,7700,Log mean myokit.volume,2.866348113875145
78,7800,Log mean myokit.volume,2.7588732403668574
79,7900,Log mean myokit.volume,2.7171819305484224
80,8000,Log mean myokit.volume,2.6884554252565214
81,8100,Log mean myokit.volume,2.575635182042294
82,8200,Log mean myokit.volume,2.4189636095169473
83,8300,Log mean myokit.volume,2.305690239788978
84,8400,Log mean myokit.volume,2.242463457922374
85,8500,Log mean myokit.volume,2.2297151313777026
86,8600,Log mean myokit.volume,2.2188182957366664
87,8700,Log mean myokit.volume,2.2973572721392355
