INR,VKORC1 G alleles,CYP2C9 1 alleles,CYP2C9 2 alleles,Age,Dose
0.5,0.5,0.5,0.5,50.0,24.0
0.5065065,0.5,0.5,0.5,50.0,24.0
0.513013,0.5,0.5,0.5,50.0,24.0
0.5195195,0.5,0.5,0.5,50.0,24.0
0.526026,0.5,0.5,0.5,50.0,24.0
0.5325325,0.5,0.5,0.5,50.0,24.0
0.539039,0.5,0.5,0.5,50.0,24.0
0.5455455,0.5,0.5,0.5,50.0,24.0
0.5520521,0.5,0.5,0.5,50.0,24.0
0.5585586,0.5,0.5,0.5,50.0,24.0
0.5650651,0.5,0.5,0.5,50.0,24.0
0.5715716,0.5,0.5,0.5,50.0,24.0
0.5780781,0.5,0.5,0.5,50.0,24.0
0.5845846,0.5,0.5,0.5,50.0,24.0
0.5910911,0.5,0.5,0.5,50.0,24.0
0.5975976,0.5,0.5,0.5,50.0,24.0
0.6041041,0.5,0.5,0.5,50.0,24.0
0.6106106,0.5,0.5,0.5,50.0,24.0
0.6171171,0.5,0.5,0.5,50.0,24.0
0.6236236,0.5,0.5,0.5,50.0,24.0
0.6301301,0.5,0.5,0.5,50.0,24.0
0.6366366,0.5,0.5,0.5,50.0,24.0
0.6431431,0.5,0.5,0.5,50.0,24.0
0.6496496,0.5,0.5,0.5,50.0,24.0
0.6561562,0.5,0.5,0.5,50.0,24.0
0.6626627,0.5,0.5,0.5,50.0,24.0
0.6691692,0.5,0.5,0.5,50.0,24.0
0.6756757,0.5,0.5,0.5,50.0,24.0
0.6821822,0.5,0.5,0.5,50.0,24.0
0.6886887,0.5,0.5,0.5,50.0,24.0
0.6951952,0.5,0.5,0.5,50.0,24.0
0.7017017,0.5,0.5,0.5,50.0,24.0
0.7082082,0.5,0.5,0.5,50.0,24.0
0.7147147,0.5,0.5,0.5,50.0,24.0
0.7212212,0.5,0.5,0.5,50.0,24.0
0.7277277,0.5,0.5,0.5,50.0,24.0
0.7342342,0.5,0.5,0.5,50.0,24.0
0.7407407,0.5,0.5,0.5,50.0,24.0
0.7472472,0.5,0.5,0.5,50.0,24.0
0.7537538,0.5,0.5,0.5,50.0,24.0
0.7602603,0.5,0.5,0.5,50.0,24.0
0.7667668,0.5,0.5,0.5,50.0,24.0
0.7732733,0.5,0.5,0.5,50.0,24.0
0.7797798,0.5,0.5,0.5,50.0,24.0
0.7862863,0.5,0.5,0.5,50.0,24.0
0.7927928,0.5,0.5,0.5,50.0,24.0
0.7992993,0.5,0.5,0.5,50.0,24.0
0.8058058,0.5,0.5,0.5,50.0,24.0
0.8123123,0.5,0.5,0.5,50.0,24.0
0.8188188,0.5,0.5,0.5,50.0,24.0
0.8253253,0.5,0.5,0.5,50.0,24.0
0.8318318,0.5,0.5,0.5,50.0,24.0
