INR,VKORC1 G alleles,VKORC1 A alleles,CYP2C9 1 alleles,CYP2C9 2 alleles,CYP2C9 3 alleles,Age,Dose
0.5,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5045045,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.509009,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5135135,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.518018,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5225225,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.527027,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5315315,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.536036,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5405405,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.545045,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5495495,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5540541,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5585586,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5630631,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5675676,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5720721,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5765766,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5810811,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5855856,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5900901,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5945946,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.5990991,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6036036,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6081081,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6126126,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6171171,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6216216,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6261261,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6306306,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6351351,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6396396,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6441441,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6486486,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6531532,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6576577,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6621622,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6666667,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6711712,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6756757,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6801802,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6846847,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6891892,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6936937,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.6981982,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7027027,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7072072,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7117117,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7162162,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7207207,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7252252,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7297297,1.0,0.0,1.0,0.0,0.0,71.0,11.5
