INR,VKORC1 G alleles,CYP2C9 1 alleles,CYP2C9 2 alleles,Age,Dose
1.0,1.0,0.5,0.5,50.0,12.0
1.0035036,1.0,0.5,0.5,50.0,12.0
1.007007,1.0,0.5,0.5,50.0,12.0
1.0105106,1.0,0.5,0.5,50.0,12.0
1.014014,1.0,0.5,0.5,50.0,12.0
1.0175176,1.0,0.5,0.5,50.0,12.0
1.021021,1.0,0.5,0.5,50.0,12.0
1.0245246,1.0,0.5,0.5,50.0,12.0
1.028028,1.0,0.5,0.5,50.0,12.0
1.0315316,1.0,0.5,0.5,50.0,12.0
1.035035,1.0,0.5,0.5,50.0,12.0
1.0385386,1.0,0.5,0.5,50.0,12.0
1.042042,1.0,0.5,0.5,50.0,12.0
1.0455456,1.0,0.5,0.5,50.0,12.0
1.049049,1.0,0.5,0.5,50.0,12.0
1.0525526,1.0,0.5,0.5,50.0,12.0
1.056056,1.0,0.5,0.5,50.0,12.0
1.0595596,1.0,0.5,0.5,50.0,12.0
1.063063,1.0,0.5,0.5,50.0,12.0
1.0665666,1.0,0.5,0.5,50.0,12.0
1.07007,1.0,0.5,0.5,50.0,12.0
1.0735736,1.0,0.5,0.5,50.0,12.0
1.077077,1.0,0.5,0.5,50.0,12.0
1.0805806,1.0,0.5,0.5,50.0,12.0
1.084084,1.0,0.5,0.5,50.0,12.0
1.0875876,1.0,0.5,0.5,50.0,12.0
1.091091,1.0,0.5,0.5,50.0,12.0
1.0945946,1.0,0.5,0.5,50.0,12.0
1.098098,1.0,0.5,0.5,50.0,12.0
1.1016016,1.0,0.5,0.5,50.0,12.0
1.1051052,1.0,0.5,0.5,50.0,12.0
1.1086086,1.0,0.5,0.5,50.0,12.0
1.1121122,1.0,0.5,0.5,50.0,12.0
1.1156156,1.0,0.5,0.5,50.0,12.0
1.1191192,1.0,0.5,0.5,50.0,12.0
1.1226226,1.0,0.5,0.5,50.0,12.0
1.1261262,1.0,0.5,0.5,50.0,12.0
1.1296296,1.0,0.5,0.5,50.0,12.0
1.1331332,1.0,0.5,0.5,50.0,12.0
1.1366366,1.0,0.5,0.5,50.0,21.5
1.1401402,1.0,0.5,0.5,50.0,21.5
1.1436436,1.0,0.5,0.5,50.0,21.5
1.1471472,1.0,0.5,0.5,50.0,21.5
1.1506506,1.0,0.5,0.5,50.0,21.5
1.1541542,1.0,0.5,0.5,50.0,21.5
1.1576576,1.0,0.5,0.5,50.0,21.5
1.1611612,1.0,0.5,0.5,50.0,21.5
1.1646646,1.0,0.5,0.5,50.0,21.5
1.1681682,1.0,0.5,0.5,50.0,21.5
1.1716716,1.0,0.5,0.5,50.0,21.5
1.1751752,1.0,0.5,0.5,50.0,21.5
1.1786786,1.0,0.5,0.5,50.0,21.5
1.1821822,1.0,0.5,0.5,50.0,21.5
1.1856856,1.0,0.5,0.5,50.0,21.5
1.1891892,1.0,0.5,0.5,50.0,21.5
1.1926926,1.0,0.5,0.5,50.0,21.5
1.1961962,1.0,0.5,0.5,50.0,21.5
1.1996996,1.0,0.5,0.5,50.0,21.5
1.2032032,1.0,0.5,0.5,50.0,21.5
1.2067068,1.0,0.5,0.5,50.0,21.5
1.2102102,1.0,0.5,0.5,50.0,21.5
1.2137138,1.0,0.5,0.5,50.0,21.5
1.2172172,1.0,0.5,0.5,50.0,21.5
1.2207208,1.0,0.5,0.5,50.0,21.5
1.2242242,1.0,0.5,0.5,50.0,21.5
1.2277278,1.0,0.5,0.5,50.0,21.5
1.2312312,1.0,0.5,0.5,50.0,21.5
1.2347348,1.0,0.5,0.5,50.0,21.5
1.2382382,1.0,0.5,0.5,50.0,21.5
1.2417418,1.0,0.5,0.5,50.0,21.5
1.2452452,1.0,0.5,0.5,50.0,21.5
1.2487488,1.0,0.5,0.5,50.0,21.5
1.2522522,1.0,0.5,0.5,50.0,21.5
1.2557558,1.0,0.5,0.5,50.0,21.5
1.2592592,1.0,0.5,0.5,50.0,21.5
1.2627628,1.0,0.5,0.5,50.0,21.5
1.2662662,1.0,0.5,0.5,50.0,21.5
1.2697698,1.0,0.5,0.5,50.0,21.5
1.2732732,1.0,0.5,0.5,50.0,21.5
1.2767768,1.0,0.5,0.5,50.0,21.5
1.2802802,1.0,0.5,0.5,50.0,21.5
1.2837838,1.0,0.5,0.5,50.0,21.5
1.2872872,1.0,0.5,0.5,50.0,21.5
1.2907908,1.0,0.5,0.5,50.0,21.5
1.2942942,1.0,0.5,0.5,50.0,21.5
1.2977978,1.0,0.5,0.5,50.0,21.5
1.3013014,1.0,0.5,0.5,50.0,21.5
1.3048048,1.0,0.5,0.5,50.0,21.5
1.3083084,1.0,0.5,0.5,50.0,21.5
1.3118118,1.0,0.5,0.5,50.0,21.5
1.3153154,1.0,0.5,0.5,50.0,21.5
1.3188188,1.0,0.5,0.5,50.0,21.5
1.3223224,1.0,0.5,0.5,50.0,21.5
1.3258258,1.0,0.5,0.5,50.0,21.5
1.3293294,1.0,0.5,0.5,50.0,21.5
1.3328328,1.0,0.5,0.5,50.0,21.5
1.3363364,1.0,0.5,0.5,50.0,21.5
1.3398398,1.0,0.5,0.5,50.0,21.5
1.3433434,1.0,0.5,0.5,50.0,21.5
1.3468468,1.0,0.5,0.5,50.0,21.5
1.3503504,1.0,0.5,0.5,50.0,21.5
1.3538538,1.0,0.5,0.5,50.0,21.5
1.3573574,1.0,0.5,0.5,50.0,21.5
1.3608608,1.0,0.5,0.5,50.0,21.5
1.3643644,1.0,0.5,0.5,50.0,21.5
1.3678678,1.0,0.5,0.5,50.0,21.5
1.3713714,1.0,0.5,0.5,50.0,21.5
1.3748748,1.0,0.5,0.5,50.0,21.5
1.3783784,1.0,0.5,0.5,50.0,21.5
1.3818818,1.0,0.5,0.5,50.0,21.5
1.3853854,1.0,0.5,0.5,50.0,21.5
1.3888888,1.0,0.5,0.5,50.0,21.5
1.3923924,1.0,0.5,0.5,50.0,21.5
1.3958958,1.0,0.5,0.5,50.0,21.5
1.3993994,1.0,0.5,0.5,50.0,21.5
1.402903,1.0,0.5,0.5,50.0,21.5
